,Preco,Num Quartos,Num Banheiros,Num Vagas,Tamanho,Tipo,Cidade,Regiao,Itens Disponivels,Itens Indisponíveis,Data Completa,Dia,Mes,Ano,Dia da Semana,Dia da Semana Extenso,Semana do Ano,Quarter,Estado
0,160.000,4.0,2.0,0.0,320.0,Casa,Belo Horizonte,Paquetá,['Área de serviço'],"['Banheira de hidromassagem', 'Box', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",19/01/2025,19.0,1.0,2025.0,6.0,Domingo,3.0,Q1,MG
1,160.000,2.0,1.0,0.0,250.0,Casa,Belo Horizonte,Milionários,"['Box', 'Varanda', 'Armários nos banheiros', 'Somente uma casa no terreno', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Armários no quarto', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Garden/Área Privativa']",19/12/2024,19.0,12.0,2024.0,3.0,Quinta-feira,51.0,Q4,MG
2,230.000,2.0,2.0,1.0,67.0,Casa,Contagem,Pedra Azul,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Cozinha americana', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",11/02/2025,11.0,2.0,2025.0,1.0,Terça-feira,7.0,Q1,MG
3,458.000,3.0,2.0,5.0,360.0,Casa,Belo Horizonte,Piratininga,"['Banheira de hidromassagem', 'Box', 'Piscina privativa', 'Armários nos banheiros', 'Armários na cozinha', 'Quartos e corredores com portas amplas', 'Somente uma casa no terreno', 'Área de serviço']","['Varanda', 'Armários no quarto', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Garden/Área Privativa']",25/01/2025,25.0,1.0,2025.0,5.0,Sábado,4.0,Q1,MG
4,180.000,2.0,1.0,1.0,100.0,Apartamento,Belo Horizonte,Piratininga,"['Armários nos banheiros', 'Armários na cozinha', 'Área de serviço']","['Banheira de hidromassagem', 'Box', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno']",14/02/2025,14.0,2.0,2025.0,4.0,Sexta-feira,7.0,Q1,MG
5,300.000,2.0,1.0,2.0,180.0,Casa,Belo Horizonte,Nova Esperança,"['Box', 'Varanda', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",19/11/2024,19.0,11.0,2024.0,1.0,Terça-feira,47.0,Q4,MG
6,395.000,3.0,1.0,5.0,400.0,Casa,Belo Horizonte,Santo Andre,['Varanda'],['Portaria 24h'],15/02/2025,15.0,2.0,2025.0,5.0,Sábado,7.0,Q1,MG
7,275.000,2.0,2.0,1.0,72.0,Casa,Belo Horizonte,Nova Cachoeirinha,"['Armários na cozinha', 'Quartos e corredores com portas amplas', 'Área de serviço', 'Garden/Área Privativa']","['Banheira de hidromassagem', 'Box', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno']",19/01/2025,19.0,1.0,2025.0,6.0,Domingo,3.0,Q1,MG
8,160.000,2.0,1.0,1.0,49.0,Apartamento,Belo Horizonte,Piratininga,,,08/02/2025,8.0,2.0,2025.0,5.0,Sábado,6.0,Q1,MG
9,490.000,2.0,2.0,2.0,70.0,Apartamento,Belo Horizonte,Padre Eustáquio,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Cozinha americana', 'Quartos e corredores com portas amplas']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Área de serviço', 'Garden/Área Privativa']",10/02/2025,10.0,2.0,2025.0,0.0,Segunda-feira,7.0,Q1,MG
10,680.000,2.0,2.0,2.0,100.0,Apartamento,Belo Horizonte,Graça,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Apartamento cobertura', 'Cozinha americana', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",18/02/2025,18.0,2.0,2025.0,1.0,Terça-feira,8.0,Q1,MG
11,190.000,2.0,1.0,1.0,100.0,Casa,Belo Horizonte,Piratininga,"['Armários na cozinha', 'Quintal', 'Área de serviço']","['Banheira de hidromassagem', 'Box', 'Varanda', 'Piscina privativa', 'Armários no quarto', 'Armários nos banheiros', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Somente uma casa no terreno', 'Garden/Área Privativa']",19/01/2025,19.0,1.0,2025.0,6.0,Domingo,3.0,Q1,MG
12,659.000,3.0,2.0,2.0,116.0,Apartamento,Belo Horizonte,Alto Caiçaras,"['Box', 'Armários no quarto', 'Armários na cozinha', 'Cozinha americana', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Armários nos banheiros', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",18/02/2025,18.0,2.0,2025.0,1.0,Terça-feira,8.0,Q1,MG
13,550.000,3.0,3.0,2.0,170.0,Apartamento,Belo Horizonte,Concórdia,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Apartamento cobertura', 'Quartos e corredores com portas amplas', 'Área de serviço', 'Garden/Área Privativa']","['Banheira de hidromassagem', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno']",15/02/2025,15.0,2.0,2025.0,5.0,Sábado,7.0,Q1,MG
14,310.000,2.0,1.0,1.0,110.0,Casa,Belo Horizonte,Palmares,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Cozinha americana', 'Área de serviço', 'Garden/Área Privativa']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno']",08/02/2025,8.0,2.0,2025.0,5.0,Sábado,6.0,Q1,MG
15,490.000,2.0,1.0,1.0,69.0,Apartamento,Belo Horizonte,Sion,"['Box', 'Varanda', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Cozinha americana', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",17/02/2025,17.0,2.0,2025.0,0.0,Segunda-feira,8.0,Q1,MG
16,500.000,2.0,1.0,1.0,70.0,Apartamento,Belo Horizonte,Cidade Jardim,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Cozinha americana', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",18/02/2025,18.0,2.0,2025.0,1.0,Terça-feira,8.0,Q1,MG
17,320.000,2.0,2.0,1.0,70.0,Apartamento,Belo Horizonte,São Sebastião,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Fogão incluso', 'Geladeira inclusa', 'Cozinha americana', 'Quartos e corredores com portas amplas', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",14/02/2025,14.0,2.0,2025.0,4.0,Sexta-feira,7.0,Q1,MG
18,820.000,2.0,2.0,3.0,72.0,Apartamento,Belo Horizonte,Luxemburgo,"['Box', 'Armários no quarto', 'Armários nos banheiros', 'Armários na cozinha', 'Cozinha americana', 'Área de serviço']","['Banheira de hidromassagem', 'Varanda', 'Piscina privativa', 'Ar condicionado', 'Chuveiro a gás', 'Apartamento cobertura', 'Fogão incluso', 'Geladeira inclusa', 'Banheiro adaptado', 'Closet', 'Home-office', 'Jardim', 'Quartos e corredores com portas amplas', 'Quintal', 'Somente uma casa no terreno', 'Garden/Área Privativa']",14/02/2025,14.0,2.0,2025.0,4.0,Sexta-feira,7.0,Q1,MG
